Aggregator,Tier,Contact Name,Title,LinkedIn/Email,Date First Contacted,Channel,Stage,Last Touch,Next Step,Next Step Date,Notes
Pariplay (Ignite),1,,,,,,Not started,,Find onboarding contact on LinkedIn,,Emerging-studio program — best structural fit
Relax Gaming (Powered By),1,,,,,,Not started,,Find content-partner contact,,Third-party studio onboarding track
Yggdrasil (YGS Masters),1,,,,,,Not started,,Check YGS Masters / GATI intake,,Franchise + pre-cert tech stack
SOFTSWISS Game Aggregator,2,,,,,,Not started,,Find studio onboarding contact,,Crypto-native; crash home turf
Hub88 (EveryMatrix),2,,,,,,Not started,,Find content contact,,Dev-friendly API; crypto-forward
Slotegrator (APIgrator),2,,,,,,Not started,,Find provider onboarding,,Works with emerging studios
NuxGame,2,,,,,,Not started,,Find aggregation contact,,Turnkey + crypto casinos
EveryMatrix (SlotMatrix),3,,,,,,Not started,,Start long-cycle conversation,,Broad reach; more process
BetConstruct,3,,,,,,Not started,,Start conversation,,Full-stack + aggregation
Digitain,3,,,,,,Not started,,Start conversation,,Regional strength
,,,,,,,,,,,
# Stages: Not started > Contacted > Replied > Call booked > Sandbox/integration > Commercials > Cert check > Listed > Live
# Channels: Cold email A/B/C > Follow-up F1/F2/F3 > LinkedIn connect/DM > Warm intro > Event
